"","Condition","condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"12","Condition","Ets",0.00232789023394071,0.678397074354138,0.000767958912881984,1.00721684682244e-05,0.0016573689057325,0.0355643527601237,0,0.541580756312734,3.53455036007979e-12,0.575954766138823,0.5726227119514,0.764501226446727,0,0.739833543479809,0.598296391816881
"13","Condition","Farp",0.125803242252928,0.641734931201339,0.0202111993219094,0.17212508357829,0.374337477240056,0.375210849516282,0.308851240211932,0.866055201620276,0.439638000580194,0.9774092406534,0.703039699280469,0.584612224287869,0.54711215087216,0,0
"14","Condition","FGF4",0,0.440608569760565,0.497679295120385,0,0.725981730301,0.891061007268798,7.22768504687083e-05,0,0,0.34983490479911,0.825630006766692,0,0,0,0
"15","Condition","Fgfr",0.783659462876419,0,0.548417998200637,0.910523880246257,0.98315889814949,0,0.00262129775631566,0.894590977973805,0,0.612643903078177,0.947595693525995,0.505468947492319,0,0.929585698802694,0.139857935378631
"16","Condition","Foxf",1.04633404332068e-05,0.088226455236731,0.0155718347368564,0.00973239671053527,0.136961798450822,0.0443806667956622,0,0.415086383105411,0.947898149355265,0.612643903078177,0,0.545741407624411,1.15108913584248e-11,0.218348774198178,0.878013012053882
"17","Condition","FZD",0.0678707797987485,0.115962755756845,0.0754134251163536,0,0.139313106867693,0.489720416436283,0.281137338676125,0.792258542695536,0,0.9774092406534,0.792788451630428,0,0,0,0
"18","Condition","Gata",0.603997183070848,0.000910180358996543,0.108322329149462,0.0593586824236335,0.98315889814949,0.246671381898777,0.188891193939672,0.866055201620276,0.284063196956374,0.850484380154912,0.5726227119514,0,0,0,0
"19","Condition","Gna-L/S",0,0.00995896346669631,0,0.529265084606138,0.98315889814949,0.677192828372411,0,0.731931629650759,0.820486578333297,0,0.0520716521107145,0,0,0.621316703918465,0
"20","Condition","Gna12/13",0.55285284428679,0,0.604271393793821,0.202594815960042,0.917907135145963,0.82639992120825,0.618582977552318,0.792258542695536,0,0.0152216176345529,0.703039699280469,0.625635698747802,0,0,0
"21","Condition","Hand",0.351540533495514,0.956397710910199,0.752613369923874,0.350802144868977,0.0016573689057325,0.785249804043815,0.373589890675292,0.894590977973805,0.175032402282451,0.850484380154912,0.420931704372208,0.746272239322569,0,0,0
