"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"TVC.Nucleus.Sphericity.min",14,157.108977388848,11.2220698134891,13.6146422168372,2.33814583618453e-30,946.25594567246,0.824264761038728,3.50721875427679e-30
"TVC.Nucleus.Sphericity.max",14,177.767754871145,12.6976967765103,16.7216595538938,6.98520994695976e-38,871.74098075926,0.759356255016777,1.18852825963196e-37
"TVC.Nucleus.Sphericity.mean",14,137.746007401741,9.83900052869576,12.7956995684053,2.37567629597762e-28,882.731932440209,0.768930254738858,3.42819111065125e-28
"TVC.Nucleus.Sphericity.SD",14,61.4978794918067,4.39270567798619,4.00320742978591,8.6430980026016e-07,1259.69643261724,1.09729654409167,9.03957038804204e-07
"TVC.Nucleus.Volume.frac.min",14,854.458624685542,61.0327589061101,76.9475270934552,6.85400915028837e-154,910.563469299248,0.793173753744989,2.60452347710958e-153
"TVC.Nucleus.Volume.frac.max",14,819.587240987042,58.5419457847887,86.6257654649674,1.80062751678102e-168,775.821759267645,0.675802926191328,7.33112631832271e-168
"TVC.Nucleus.Volume.frac.mean",14,924.625797925636,66.0446998518311,113.285270200252,9.57515992600014e-205,669.277791330487,0.582994591751295,6.06426795313342e-204
"TVC.Nucleus.Volume.frac.SD",14,394.775366456894,28.1982404612067,22.3257791425001,4.82688923682166e-51,1449.96418010074,1.26303500008775,9.65377847364333e-51
"nATM",14,1744.12912166415,124.580651547439,424.439374273712,0,336.958813543606,0.293518130264465,0
"nTVC",14,1632.82550692042,116.630393351458,257.09679532467,0,520.783199177537,0.453643901722593,0
"ATMgroup.Ellipticity..oblate.",14,141.382890400255,10.0987778857325,9.25840825449528,1.32876034552102e-19,1252.20196540716,1.09076826254979,1.64650738466735e-19
"ATMgroup.Ellipticity..prolate.",14,30.9797206102341,2.21283718644529,2.24926352791911,0.00515113076538181,1129.40838568141,0.983805214008196,0.00515113076538181
"ATMgroup.Sphericity",14,287.670702806859,20.5479073433471,25.2486157133388,1.10216270435816e-57,934.268947572458,0.813823125063117,2.51293096593661e-57
"TVCgroup.Ellipticity..oblate.",14,169.767648341047,12.1262605957891,14.0254576648778,2.32035484372246e-31,992.548514037185,0.864589297941799,3.62356783814193e-31
"TVCgroup.Ellipticity..prolate.",14,150.167537084396,10.7262526488854,10.7928162534438,2.07467156391285e-23,1140.91982590654,0.993832600963889,2.65744447512433e-23
"TVCgroup.Sphericity",14,204.952138729227,14.6394384806591,17.1309981913701,7.3176510727969e-39,981.0330482822,0.854558404427003,1.2834034189213e-38
"TVC.Volume",14,1538.27732724103,109.876951945788,483.690358496807,0,260.784071085836,0.227163824987662,0
"ATM.Volume",14,1245.22837980774,88.9448842719813,229.621069365818,1.27419530062457e-320,444.683614732067,0.387355065097619,1.11737886463456e-319
