"Row.names","Condition","Phenotype","nTVC","nATM","migration.perturbed","orientation.perturbed","division.perturbed","TVC.contiguous","ATM.contiguous"
"Eph.image18_right.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image2.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image20.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image3.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image4.2020_06_17","Eph","migration/orientation perturbed",4,2,TRUE,TRUE,FALSE,1,1
"Eph.image6.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image9.2020_06_17","Eph","migration perturbed",4,2,TRUE,FALSE,FALSE,1,1
"Eph.slide1_image1_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image10.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image11.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image12_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image14.2020_02_06","Eph","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Eph.slide1_image15.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image18_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image19_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image22_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image22_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image25_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image25_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image26_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image31_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image31_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image33_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image5_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image7_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide1_image9_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image1_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image1_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image10.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image13.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image14_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image14_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
