Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.14058411,0.16066569,-0.24655414,0.18254131,0.15983672,0.043286145,-0.04142235,-0.69706124,-0.2969432,0.19405429,-0.14172523,0.18736966,-0.5275188,0.14275678
0.2707836,-0.2356304,0.6211979,0.41333213,0.40541407,-0.1509063,-0.35191897,0.36592537,-0.03538165,0.3823424,-0.25973862,-0.02127463,0.2905692,-0.4090405
0.055623837,-0.031411964,0.32828158,-0.114613295,-0.5879313,-0.52197033,0.04693707,0.5370148,-0.1135027,0.30998033,-0.27844235,0.32629862,0.31389096,-0.18396714
-0.13860731,0.2808091,0.32537222,-0.43991122,-0.27841493,-0.18010192,-0.17714134,0.09670715,-0.23812526,-0.113406755,0.072805405,0.32109922,-0.42471787,-0.25230736
0.084923804,-0.3201582,-0.55389684,0.33320433,-0.10113777,0.45251116,-0.15773398,-0.12045543,0.21021132,-0.49111986,0.14781414,-0.45994273,0.3131903,0.021725774
-0.21155125,0.19995968,-0.028751768,-0.46317306,-0.16533315,-0.23794878,-0.3445947,-0.028361076,0.24281381,0.1696558,-0.10409857,0.16284819,-0.35689723,-0.30442867
-0.57437474,-0.131434,-0.49767834,-0.49887344,-0.061935846,0.55779797,-0.3205845,0.42465052,0.41285664,-0.3432049,-0.13319893,-0.5362845,-0.1304875,-0.3346648
0.066231005,0.10516818,0.00923335,0.24670541,-0.088371366,-0.08852787,0.022163091,-0.72490096,-0.3977079,0.11982305,-0.023334477,0.05619505,-0.5327671,-0.02874246
0.6373025,-0.39649335,-0.42854664,0.5412997,-0.07756233,0.18719076,-0.013699858,-0.11764128,-0.4511215,0.07602358,0.29543874,-0.20748958,-0.38434264,0.52663165
0.27252188,0.3893394,0.47584572,-0.34583113,-0.24167053,0.2891371,-0.33999923,-0.5373713,0.4692215,-0.141562,0.1606877,0.099270485,-0.5377223,-0.11146783
-0.43629465,0.4355785,-0.34572756,-0.74432623,0.36911967,-0.026417037,-0.39003637,-0.057936907,0.23605064,-0.15969343,0.3873233,-0.15068492,0.037374638,0.24022608
0.26726893,-0.4175897,-0.14145975,-0.002437531,-0.029101625,0.23644704,0.08366945,0.092637144,0.23929717,-0.39154175,0.47934192,-0.43127516,-0.030392949,0.08433096
-0.20417742,0.20192465,-0.098010816,-0.47101513,-0.12574641,-0.16175672,-0.2675927,-0.10458026,0.23718373,0.17854986,-0.1065474,0.19807838,-0.36191815,-0.21519507
-0.2336635,0.31156936,0.045025155,-0.8231629,0.49267307,0.35485175,0.3369198,0.09225099,0.5437808,-0.29968262,0.0054674298,-0.16222496,0.3871613,0.13515224
-0.59515035,0.40428147,-0.57302386,-0.43997136,0.55603063,-0.15794587,-0.5582654,-0.54624736,-0.07493059,-0.15487403,0.22185265,-0.39342147,0.51246506,-0.42677584
-0.4480606,0.15158287,-0.3870578,-0.6622767,0.35007364,-0.01804564,-0.13864887,-0.121313505,0.3122229,-0.33635417,0.40121302,0.009293935,0.21760026,-0.058234446
-0.5987039,0.45829603,-0.5245186,-0.55475783,0.1350337,0.26576617,-0.06289478,-0.59215945,0.10450053,-0.3476934,0.35090202,-0.21345197,0.1325835,0.016810505
0.1680361,-0.46872056,-0.42097652,0.059701763,0.08280472,0.31014317,-0.00070021854,0.503586,0.102855794,-0.31041068,0.06793184,-0.6740827,-0.18169472,-0.19887371
0.70595604,-0.1961039,-0.39445454,0.47303507,0.463521,0.1939026,-0.32560083,0.04864323,-0.5978547,-0.009108359,0.527834,-0.16197038,-0.18214494,0.59486645
0.18238923,-0.3378976,-0.60191214,0.22938223,-0.123298384,0.4855247,-0.18522212,-0.20730169,0.16263694,-0.39606392,0.112201765,-0.45815793,0.21619894,0.08129056
-0.31283817,0.4063175,-0.3596502,-0.7519722,0.42523038,-0.050670397,-0.48900592,-0.04367917,0.16840814,-0.100491084,0.39873263,-0.12356886,0.03669766,0.16869143
-0.11380394,-0.57426745,-0.6013857,0.33435458,0.44658187,0.0066265017,-0.2479767,0.16161768,-0.47525072,-0.24160455,-0.38606712,-0.3250853,-0.47857684,0.015118378
-0.3855467,0.026912328,-0.7225495,-0.5506433,0.5771312,-0.01435159,0.27758488,0.010492947,0.11787315,-0.36751154,0.35319915,-0.3138454,-0.14432521,0.14557113
-0.4710534,0.25133926,-0.43460017,-0.26974264,0.080492444,-0.028301975,-0.6547225,0.15928644,-0.5003267,-0.06152565,0.13806887,-0.062210083,0.18442798,-0.037449185
