"embedding1","embedding2","embedding3","embedding4","embedding5","embedding6","embedding7","embedding8","embedding9","embedding10","embedding11","embedding12","embedding13","embedding14"
-0.4710534,0.25133926,-0.43460017,-0.26974264,0.080492444,-0.028301975,-0.6547225,0.15928644,-0.5003267,-0.06152565,0.13806887,-0.062210083,0.18442798,-0.037449185
-0.33096236,-0.12946466,0.2542519,0.39225054,0.14985423,-0.046963975,0.37139863,0.45483366,-0.2838713,-0.13656944,0.16166034,-0.81038827,0.08941262,-0.3838749
0.3138641,0.4655253,0.1455039,-0.7595303,-0.37716475,0.19794725,-0.62763435,-0.47227374,-0.06263901,-0.39932585,0.5667706,0.09494973,-0.22033782,0.52017397
-0.22284321,0.33594933,0.4365186,-0.6156893,0.22104822,-0.2926247,-0.22257069,0.094681345,-0.29879987,0.016166262,-0.5981433,0.3417586,-0.2719032,0.11755814
-0.51125234,-0.0679115,-0.018930282,-0.69356686,0.30603337,-0.10153411,-0.0205126,-0.054702368,0.4806507,-0.19836129,0.5832347,-0.03306184,0.032479126,-0.4780429
-0.62739986,0.22127455,-0.44936275,-0.62119013,0.21146457,0.0017093096,-0.2401751,-0.22628666,0.4158806,-0.3377488,0.437627,0.042512838,0.19002494,-0.29457706
-0.27076665,0.13778694,-0.04539153,-0.640863,0.6104074,-0.15956093,-0.38788489,-0.100956745,-0.09748192,-0.32555866,0.46766692,-0.07204381,0.03250693,-0.25047824
-0.5008288,-0.19840558,-0.21799822,0.055728212,0.03522715,-0.6911771,0.32585922,0.67992556,-0.34171748,0.25717196,0.047124412,-0.4345301,-0.16982922,-0.40582237
-0.25860843,-0.19377394,0.428259,-0.35196996,0.11885979,-0.6307312,-0.2857828,-0.24895549,-0.27143258,-0.10453237,-0.096860856,0.27376795,-0.35229772,-0.1643998
0.3243237,-0.39831746,-0.06966581,-0.2834387,0.20423786,-0.43868324,0.13699724,-0.45664194,0.15695748,0.14093189,-0.45967913,0.25080702,-0.17962833,-0.105779916
-0.61984587,-0.2836004,-0.4131524,-0.75342035,0.05547058,-0.21992289,-0.34911492,-0.23968332,0.12654908,-0.46133193,-0.34559643,-0.12485111,0.7199548,-0.39408073
-0.34236932,0.313168,-0.3492734,-0.4743086,0.19978796,-0.1401304,-0.19008368,-0.028863048,0.033091288,-0.34189668,0.13156,-0.057948243,-0.0951411,-0.2085426
0.5224032,0.41973346,-0.20926207,0.14705364,0.16863593,-0.1849087,0.040950228,-0.02032529,0.5974713,-0.43087864,0.052547436,-0.0893488,-0.5492264,0.2008585
-0.41832817,0.09638669,0.11425541,-0.07214893,0.2759146,0.17025438,-0.09321435,-0.4330205,-0.074013375,0.561776,-0.19152915,-0.44878083,0.4599775,-0.18486011
-0.59396607,-0.36428604,0.09542028,-0.56132877,0.5252865,-0.53037566,0.44477627,-0.2578215,-0.611787,-0.018423708,-0.20371164,-0.18763293,-0.27264374,-0.5686435
-0.26491934,-0.16035207,0.699046,0.17854121,0.05927943,0.33687022,-0.3999231,-0.39495525,-0.08960519,-0.16676739,-0.026489139,0.050573412,0.18587098,-0.5555226
-0.44446355,-0.3596886,-0.46025062,-0.4854613,-0.23738644,0.6376754,0.035763413,0.4755217,0.5336759,-0.40660983,-0.102006,-0.5772588,-0.37621322,-0.53148514
-0.3889637,-0.32567662,0.71909463,0.14870724,0.053948756,0.0010394581,0.11878716,-0.41051945,-0.19736628,-0.5705413,0.11723907,0.0022169577,-0.5132593,-0.2274892
-0.30043697,-0.48679975,0.14175434,0.061413348,0.29869336,-0.15738991,0.012935036,0.52391595,0.03244959,-0.7359869,0.12329362,-0.5635867,-0.4929431,0.015790157
-0.36423984,0.46894342,0.3990679,-0.5284253,-0.04870394,-0.14665014,-0.33121973,0.49815816,-0.6438456,-0.046884667,0.39383405,-0.29611355,0.44388813,0.0343127
-0.58561003,-0.10860184,-0.27089763,-0.49615008,-0.28196356,0.41101107,-0.14007254,0.27285063,0.32595012,-0.3363158,-0.2567617,-0.3068779,-0.44779843,-0.45329627
0.05603839,0.18268752,-0.28351218,-0.08732136,-0.61794716,-0.42217836,-0.124633834,-0.3062683,-0.004033553,-0.4937302,0.5535581,0.39703974,0.5633797,-0.13833292
-0.41833895,0.2953321,-0.15344569,-0.5273916,-0.010628389,-0.1602912,-0.08221547,-0.34366274,-0.0045617446,-0.19439998,0.31583533,-0.09779615,-0.078815944,-0.13095361
-0.4361288,-0.46249261,0.17715588,-0.3990716,0.16418919,-0.5334281,0.52102214,-0.16839914,-0.64552796,-0.17196304,-0.2972288,-0.6549166,-0.3295997,-0.1419945
-0.25659272,0.37539762,0.5767886,0.12897128,-0.023923365,-0.004020364,0.022250712,0.34990188,0.3684495,0.11520297,-0.21058488,-0.57927257,0.09211189,0.24418174
