"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.Cell.Sphericity.SD",1,1,1,1,1,1,1,0.00706671427659163,1,0.126082677586015,1,1,1,1,1,1,0.753102395959462,0.616636307808254,1,0.974478933473885,1,0.801122019943287,1,1,0.0603374712976875,1,1,1,1,1,1,1,1,0.0900961365526381
"ATM.Cell.Volume.frac.min",1,1,1,1,1,1,1,0.000994394749192639,1,1,1,1,1,1,1,0.516997848998128,1,0.251938399225839,1,1,1,1,0.0947474238373554,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Volume.frac.max",1,1,1,1,1,1,1,0.00906679956480569,1,1,1,0.860317583658645,1,1,1,0.0235413972084075,1,1,1,1,1,1,0.00105845122461066,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Volume.frac.mean",1,1,1,1,1,1,1,0.000107966132588207,1,1,1,1,1,1,1,0.0556650776967814,1,0.0547693582077523,1,1,1,1,0.0148577961171186,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Volume.frac.SD",1,1,1,1,1,1,1,0.603936943999509,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75950455887782,0.0747746159673659,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..oblate..min",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..oblate..max",1,0.762268156610017,1,1,1,1,1,1,1,0.697396672154774,1,1,1,1,1,0.0120780605035873,1,1,1,1,1,1,1,1,1,1,1,1,1,0.609375,1,1,1,1
"ATM.Nucleus.Ellipticity..oblate..mean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.085072148757074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..oblate..SD",1,0.189876021435437,1,1,1,1,1,0.552320484173689,0.515360904235659,0.363878824571488,0.189360325526272,1,1,0.0849074700633252,1,1,0.0131615061081783,1,1,1,1,1,0.0303288478788923,1,1,1,1,1,1,1,1,0.90123172859228,1,1
"ATM.Nucleus.Ellipticity..prolate..min",1,1,1,1,1,1,1,1,1,0.317714564405057,1,1,1,1,1,0.00154177347473573,1,1,1,1,1,1,1,1,0.168346294667572,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..prolate..max",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.516997848998128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..prolate..mean",1,1,1,1,1,1,1,1,1,1,0.640806583918627,1,1,1,1,0.0146190939577856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..prolate..SD",1,0.0139317990911136,1,1,1,1,1,0.515549081873529,1,0.155835907314522,1,1,1,0.997688959582272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0547690684972783,1,1
"ATM.Nucleus.Sphericity.min",0.764794440684721,0.18345055691157,1,1,1,0.276708247997941,1,1,1,1,1,0.108513581636776,1,0.0631601654867795,0.315852914005518,0.00830410106445149,0.788645189252865,1,1,1,0.37569541679414,1,1,1,1,1,1,0.416470348834992,1,1,1,1,1,1
"ATM.Nucleus.Sphericity.max",1,0.162473455820504,1,1,1,0.450013758131877,1,1,1,1,1,0.00572595654344066,1,1,1,0.313303358075375,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22265625,1,1,1,1
